 ,Area,Mean,Min,Max,X,Y
1,0.000,206,206,206,-0.040,0.298
2,0.000,208,208,208,-0.157,0.307
3,0.000,206,206,206,-0.310,0.352
4,0.000,209,209,209,-0.426,0.364
5,0.000,208,208,208,-0.590,0.410
6,0.000,212,212,212,-0.707,0.440
7,0.000,210,210,210,-0.869,0.460
8,0.000,197,197,197,-1.029,0.505
9,0.000,212,212,212,-1.148,0.521
10,0.000,213,213,213,-1.314,0.564
11,0.000,215,215,215,-1.445,0.600
12,0.000,209,209,209,-1.562,0.640
13,0.000,215,215,215,-1.674,0.686
14,0.000,211,211,211,-1.810,0.738
15,0.000,214,214,214,-1.926,0.757
16,0.000,200,200,200,-2.062,0.788
17,0.000,213,213,213,-2.190,0.831
18,0.000,215,215,215,-2.336,0.862
19,0.000,208,208,208,-2.460,0.938
20,0.000,215,215,215,-2.581,0.955
21,0.000,149,149,149,-2.719,1.010
22,0.000,204,204,204,-2.879,1.098
23,0.000,188,188,188,-3.060,1.133
24,0.000,205,205,205,-3.262,1.224
25,0.000,204,204,204,-3.462,1.305
26,0.000,204,204,204,-3.660,1.407
27,0.000,199,199,199,-3.864,1.483
28,0.000,193,193,193,-4.064,1.612
29,0.000,190,190,190,-4.260,1.693
30,0.000,189,189,189,-4.400,1.769
31,0.000,191,191,191,-4.555,1.864
32,0.000,188,188,188,-4.721,1.950
33,0.000,151,151,151,-4.948,2.083
34,0.000,162,162,162,-5.129,2.193
35,0.000,192,192,192,-5.326,2.293
36,0.000,191,191,191,-5.500,2.407
37,0.000,198,198,198,-5.643,2.512
38,0.000,182,182,182,-5.817,2.633
