 ,Area,Mean,Min,Max,X,Y
1,0.000,197,197,197,0.431,0.302
2,0.000,201,201,201,0.334,0.304
3,0.000,191,191,191,0.220,0.334
4,0.000,195,195,195,0.099,0.371
5,0.000,193,193,193,-0.037,0.394
6,0.000,200,200,200,-0.172,0.425
7,0.000,201,201,201,-0.293,0.463
8,0.000,205,205,205,-0.435,0.502
9,0.000,203,203,203,-0.588,0.545
10,0.000,211,211,211,-0.720,0.593
11,0.000,211,211,211,-0.894,0.649
12,0.000,103,103,103,-1.024,0.692
13,0.000,214,214,214,-1.134,0.731
14,0.000,210,210,210,-1.252,0.787
15,0.000,212,212,212,-1.373,0.823
16,0.000,214,214,214,-1.504,0.881
17,0.000,211,211,211,-1.612,0.933
18,0.000,27,27,27,-1.752,0.998
19,0.000,221,221,221,-1.888,1.062
20,0.000,25,25,25,-2.013,1.119
21,0.000,218,218,218,-2.099,1.162
22,0.000,221,221,221,-2.194,1.213
23,0.000,220,220,220,-2.310,1.289
24,0.000,217,217,217,-2.405,1.347
25,0.000,221,221,221,-2.487,1.384
26,0.000,218,218,218,-2.582,1.440
27,0.000,218,218,218,-2.696,1.519
28,0.000,219,219,219,-2.836,1.591
29,0.000,212,212,212,-2.935,1.670
30,0.000,207,207,207,-3.039,1.716
31,0.000,204,204,204,-3.168,1.817
32,0.000,204,204,204,-3.293,1.903
33,0.000,92,92,92,-3.405,1.991
34,0.000,202,202,202,-3.526,2.075
35,0.000,203,203,203,-3.655,2.153
36,0.000,206,206,206,-3.752,2.239
37,0.000,199,199,199,-3.884,2.364
