 ,Area,Mean,Min,Max,X,Y
1,0.000,222,222,222,-0.010,0.145
2,0.000,223,223,223,-0.137,0.157
3,0.000,216,216,216,-0.309,0.164
4,0.000,221,221,221,-0.446,0.167
5,0.000,218,218,218,-0.569,0.179
6,0.000,228,228,228,-0.755,0.201
7,0.000,216,216,216,-0.667,0.196
8,0.000,215,215,215,-0.846,0.203
9,0.000,204,204,204,-0.966,0.218
10,0.000,214,214,214,-1.105,0.218
11,0.000,223,223,223,-1.260,0.228
12,0.000,218,218,218,-1.412,0.248
13,0.000,231,231,231,-1.554,0.248
14,0.000,225,225,225,-1.740,0.267
15,0.000,217,217,217,-1.880,0.284
16,0.000,217,217,217,-2.074,0.309
17,0.000,229,229,229,-2.216,0.314
18,0.000,217,217,217,-2.358,0.353
19,0.000,217,217,217,-2.505,0.368
20,0.000,221,221,221,-2.681,0.385
21,0.000,23,23,23,-2.922,0.409
22,0.000,216,216,216,-3.105,0.434
23,0.000,205,205,205,-3.402,0.483
24,0.000,201,201,201,-3.539,0.515
25,0.000,204,204,204,-3.696,0.517
26,0.000,204,204,204,-3.838,0.544
27,0.000,196,196,196,-4.029,0.581
28,0.000,197,197,197,-4.147,0.613
29,0.000,198,198,198,-4.270,0.615
30,0.000,200,200,200,-4.458,0.659
31,0.000,198,198,198,-4.613,0.694
32,0.000,195,195,195,-4.733,0.711
33,0.000,66,66,66,-4.865,0.725
34,0.000,195,195,195,-4.988,0.762
35,0.000,198,198,198,-5.108,0.799
36,0.000,199,199,199,-5.319,0.841
37,0.000,194,194,194,-5.490,0.853
38,0.000,190,190,190,-5.672,0.895
39,0.000,213,213,213,-5.941,0.963
40,0.000,39,39,39,-6.147,1.002
41,0.000,198,198,198,-6.385,1.047
42,0.000,189,189,189,-6.551,1.081
43,0.000,184,184,184,-6.716,1.132
