 ,Area,Mean,Min,Max,X,Y
1,0.000,205,205,205,0.426,0.456
2,0.000,204,204,204,0.343,0.486
3,0.000,214,214,214,0.271,0.512
4,0.000,210,210,210,0.194,0.542
5,0.000,215,215,215,0.088,0.586
6,0.000,175,175,175,-0.021,0.632
7,0.000,211,211,211,-0.123,0.683
8,0.000,212,212,212,-0.213,0.734
9,0.000,212,212,212,-0.310,0.787
10,0.000,214,214,214,-0.431,0.833
11,0.000,218,218,218,-0.528,0.887
12,0.000,219,219,219,-0.664,0.977
13,0.000,132,132,132,-0.792,1.035
14,0.000,217,217,217,-0.866,1.090
15,0.000,219,219,219,-0.977,1.164
16,0.000,179,179,179,-1.062,1.220
17,0.000,220,220,220,-1.157,1.285
18,0.000,225,225,225,-1.227,1.350
19,0.000,227,227,227,-1.338,1.428
20,0.000,225,225,225,-1.403,1.484
21,0.000,226,226,226,-1.502,1.567
22,0.000,222,222,222,-1.611,1.653
23,0.000,222,222,222,-1.727,1.757
24,0.000,221,221,221,-1.810,1.859
25,0.000,221,221,221,-1.931,1.958
26,0.000,122,122,122,-2.046,2.086
27,0.000,212,212,212,-2.176,2.215
28,0.000,219,219,219,-2.273,2.329
29,0.000,214,214,214,-2.340,2.449
30,0.000,214,214,214,-2.424,2.539
31,0.000,210,210,210,-2.521,2.683
