 ,Area,Mean,Min,Max,X,Y
1,0.000,229,229,229,-0.067,0.170
2,0.000,233,233,233,-0.158,0.175
3,0.000,228,228,228,-0.244,0.190
4,0.000,225,225,225,-0.349,0.197
5,0.000,204,204,204,-0.457,0.205
6,0.000,220,220,220,-0.567,0.219
7,0.000,222,222,222,-0.670,0.229
8,0.000,224,224,224,-0.766,0.246
9,0.000,226,226,226,-0.876,0.259
10,0.000,227,227,227,-0.982,0.276
11,0.000,224,224,224,-1.082,0.286
12,0.000,223,223,223,-1.195,0.308
13,0.000,227,227,227,-1.298,0.317
14,0.000,224,224,224,-1.401,0.339
15,0.000,158,158,158,-1.504,0.357
16,0.000,223,223,223,-1.594,0.366
17,0.000,220,220,220,-1.732,0.384
18,0.000,223,223,223,-1.822,0.403
19,0.000,220,220,220,-1.945,0.423
20,0.000,221,221,221,-2.038,0.445
21,0.000,217,217,217,-2.136,0.450
22,0.000,220,220,220,-2.239,0.460
23,0.000,212,212,212,-2.359,0.487
24,0.000,220,220,220,-2.484,0.509
25,0.000,216,216,216,-2.616,0.533
26,0.000,222,222,222,-2.732,0.562
27,0.000,223,223,223,-2.859,0.599
28,0.000,219,219,219,-2.952,0.612
29,0.000,222,222,222,-3.060,0.631
30,0.000,224,224,224,-3.158,0.661
31,0.000,219,219,219,-3.271,0.697
32,0.000,218,218,218,-3.388,0.719
33,0.000,223,223,223,-3.496,0.739
34,0.000,224,224,224,-3.631,0.768
35,0.000,223,223,223,-3.688,0.795
36,0.000,225,225,225,-3.788,0.817
37,0.000,227,227,227,-3.898,0.842
38,0.000,224,224,224,-4.036,0.879
39,0.000,225,225,225,-4.112,0.908
40,0.000,227,227,227,-4.234,0.947
41,0.000,38,38,38,-4.413,0.994
42,0.000,220,220,220,-4.536,1.033
43,0.000,228,228,228,-4.665,1.067
44,0.000,225,225,225,-4.815,1.114
45,0.000,227,227,227,-4.942,1.163
46,0.000,225,225,225,-5.060,1.207
47,0.000,227,227,227,-5.197,1.254
48,0.000,230,230,230,-5.295,1.290
49,0.000,226,226,226,-5.411,1.325
50,0.000,226,226,226,-5.516,1.371
51,0.000,228,228,228,-5.651,1.403
52,0.000,224,224,224,-5.786,1.457
53,0.000,227,227,227,-5.923,1.526
54,0.000,224,224,224,-6.055,1.545
55,0.000,221,221,221,-6.195,1.624
56,0.000,224,224,224,-6.303,1.678
57,0.000,223,223,223,-6.460,1.737
58,0.000,218,218,218,-6.592,1.790
59,0.000,218,218,218,-6.744,1.854
60,0.000,219,219,219,-6.866,1.918
