 ,Area,Mean,Min,Max,X,Y
1,0.000,205,205,205,0.418,0.433
2,0.000,198,198,198,0.335,0.464
3,0.000,203,203,203,0.253,0.491
4,0.000,205,205,205,0.162,0.524
5,0.000,203,203,203,0.074,0.561
6,0.000,122,122,122,-0.015,0.600
7,0.000,205,205,205,-0.095,0.630
8,0.000,209,209,209,-0.180,0.673
9,0.000,210,210,210,-0.291,0.724
10,0.000,214,214,214,-0.362,0.762
11,0.000,218,218,218,-0.456,0.811
12,0.000,208,208,208,-0.520,0.845
13,0.000,211,211,211,-0.605,0.895
14,0.000,211,211,211,-0.702,0.947
15,0.000,219,219,219,-0.805,1.005
16,0.000,181,181,181,-0.889,1.058
17,0.000,213,213,213,-0.989,1.115
18,0.000,215,215,215,-1.067,1.174
19,0.000,217,217,217,-1.142,1.214
20,0.000,217,217,217,-1.223,1.276
21,0.000,218,218,218,-1.292,1.327
22,0.000,218,218,218,-1.364,1.376
23,0.000,220,220,220,-1.447,1.429
24,0.000,217,217,217,-1.514,1.485
25,0.000,216,216,216,-1.591,1.558
26,0.000,217,217,217,-1.683,1.621
27,0.000,212,212,212,-1.750,1.679
28,0.000,214,214,214,-1.821,1.744
29,0.000,213,213,213,-1.903,1.820
30,0.000,201,201,201,-1.995,1.882
31,0.000,193,193,193,-2.091,1.986
32,0.000,156,156,156,-2.168,2.079
33,0.000,200,200,200,-2.277,2.170
34,0.000,204,204,204,-2.327,2.255
35,0.000,202,202,202,-2.395,2.332
36,0.000,199,199,199,-2.477,2.430
37,0.000,200,200,200,-2.573,2.542
38,0.000,201,201,201,-2.665,2.659
