 ,Area,Mean,Min,Max,X,Y
1,0.000,199,199,199,0.417,0.275
2,0.000,199,199,199,0.296,0.302
3,0.000,185,185,185,0.029,0.359
4,0.000,196,196,196,0.190,0.316
5,0.000,203,203,203,-0.097,0.389
6,0.000,204,204,204,-0.242,0.414
7,0.000,203,203,203,-0.365,0.444
8,0.000,202,202,202,-0.485,0.480
9,0.000,208,208,208,-0.600,0.523
10,0.000,213,213,213,-0.709,0.545
11,0.000,214,214,214,-0.832,0.592
12,0.000,216,216,216,-0.930,0.624
13,0.000,217,217,217,-1.092,0.668
14,0.000,214,214,214,-1.231,0.728
15,0.000,220,220,220,-1.365,0.772
16,0.000,220,220,220,-1.482,0.794
17,0.000,220,220,220,-1.619,0.862
18,0.000,220,220,220,-1.736,0.900
19,0.000,222,222,222,-1.843,0.939
20,0.000,192,192,192,-1.949,0.988
21,0.000,133,133,133,-2.083,1.026
22,0.000,220,220,220,-2.206,1.094
23,0.000,223,223,223,-2.354,1.152
24,0.000,227,227,227,-2.488,1.212
25,0.000,228,228,228,-2.630,1.286
26,0.000,226,226,226,-2.745,1.351
27,0.000,223,223,223,-2.843,1.398
28,0.000,223,223,223,-2.958,1.455
29,0.000,230,230,230,-3.081,1.520
30,0.000,220,220,220,-3.193,1.586
31,0.000,214,214,214,-3.296,1.668
32,0.000,220,220,220,-3.449,1.728
33,0.000,221,221,221,-3.575,1.805
34,0.000,212,212,212,-3.695,1.892
35,0.000,213,213,213,-3.810,1.960
36,0.000,211,211,211,-3.941,2.053
37,0.000,216,216,216,-4.042,2.119
38,0.000,211,211,211,-4.154,2.220
39,0.000,210,210,210,-4.275,2.305
40,0.000,210,210,210,-4.408,2.419
41,0.000,208,208,208,-4.526,2.501
42,0.000,208,208,208,-4.643,2.589
43,0.000,201,201,201,-4.725,2.660
