 ,Area,Mean,Min,Max,X,Y
1,0.000,126,126,126,-1.822,-7.313
2,0.000,124,124,124,-1.728,-6.974
3,0.000,133,133,133,-1.611,-6.558
4,0.000,146,146,146,-1.512,-6.132
5,0.000,131,131,131,-1.512,-5.874
6,0.000,136,136,136,-1.512,-5.348
7,0.000,143,143,143,-1.605,-4.839
8,0.000,119,119,119,-1.798,-4.354
9,0.000,116,116,116,-1.939,-3.845
10,0.000,127,127,127,-2.020,-3.330
11,0.000,110,110,110,-2.102,-2.804
12,0.000,106,106,106,-2.190,-2.383
13,0.000,100,100,100,-2.278,-1.757
14,0.000,144,144,144,-2.336,-1.284
15,0.000,105,105,105,-2.383,-0.810
16,0.000,107,107,107,-2.418,-0.371
17,0.000,110,110,110,-2.401,0.096
18,0.000,101,101,101,-2.383,0.518
19,0.000,85,85,85,-2.301,1.044
20,0.000,95,95,95,-2.184,1.436
21,0.000,175,175,175,-1.950,1.827
22,0.000,80,80,80,-1.716,2.085
23,0.000,87,87,87,-1.412,2.249
24,0.000,95,95,95,-0.980,2.348
25,0.000,74,74,74,-0.564,2.401
26,0.000,63,63,63,-0.032,2.424
27,0.000,74,74,74,0.518,2.383
28,0.000,97,97,97,1.073,2.295
29,0.000,81,81,81,1.734,2.196
30,0.000,68,68,68,2.401,2.073
31,0.000,83,83,83,2.886,2.026
32,0.000,114,114,114,3.377,1.939
33,0.000,56,56,56,3.915,1.833
34,0.000,71,71,71,4.371,1.681
35,0.000,55,55,55,4.839,1.564
36,0.000,117,117,117,5.360,1.406
37,0.000,78,78,78,5.845,1.295
38,0.000,79,79,79,6.406,1.202
39,0.000,66,66,66,6.886,1.237
40,0.000,73,73,73,7.371,1.266
41,0.000,64,64,64,7.868,1.289
42,0.000,74,74,74,8.412,1.342
