 ,Area,Mean,Min,Max,X,Y
1,0.000,107,107,107,2.391,-3.260
2,0.000,127,127,127,2.376,-3.547
3,0.000,139,139,139,2.380,-3.814
4,0.000,103,103,103,2.360,-4.097
5,0.000,100,100,100,2.391,-4.391
6,0.000,111,111,111,2.399,-3.081
7,0.000,109,109,109,2.399,-2.802
8,0.000,92,92,92,2.399,-2.523
9,0.000,84,84,84,2.399,-2.244
10,0.000,88,88,88,2.399,-1.965
11,0.000,83,83,83,2.399,-1.407
12,0.000,82,82,82,2.407,-1.620
13,0.000,82,82,82,2.407,-1.058
14,0.000,73,73,73,2.395,-0.767
15,0.000,77,77,77,2.403,-0.531
16,0.000,74,74,74,2.403,-0.252
17,0.000,152,152,152,2.403,0.027
18,0.000,61,61,61,2.403,0.306
19,0.000,76,76,76,2.411,0.558
20,0.000,84,84,84,2.415,0.833
21,0.000,63,63,63,2.430,1.194
22,0.000,72,72,72,2.430,1.496
23,0.000,61,61,61,2.430,1.775
24,0.000,62,62,62,2.430,2.054
25,0.000,57,57,57,2.430,2.333
26,0.000,64,64,64,2.430,2.612
27,0.000,62,62,62,2.430,2.891
28,0.000,51,51,51,2.430,3.450
29,0.000,48,48,48,2.430,3.729
30,0.000,43,43,43,2.430,4.008
31,0.000,47,47,47,2.438,4.202
32,0.000,57,57,57,2.508,4.640
33,0.000,48,48,48,2.702,4.926
34,0.000,58,58,58,2.601,4.802
35,0.000,65,65,65,2.484,4.477
36,0.000,42,42,42,2.849,5.124
37,0.000,35,35,35,3.016,5.260
38,0.000,45,45,45,3.256,5.260
39,0.000,45,45,45,3.550,5.190
40,0.000,48,48,48,3.744,5.066
41,0.000,92,92,92,3.953,4.880
42,0.000,45,45,45,4.112,4.674
43,0.000,51,51,51,4.287,4.516
44,0.000,51,51,51,4.450,4.306
45,0.000,53,53,53,4.566,4.155
46,0.000,60,60,60,4.674,3.981
47,0.000,54,54,54,4.841,3.736
48,0.000,42,42,42,5.012,3.477
49,0.000,45,45,45,5.132,3.275
50,0.000,49,49,49,5.233,3.105
51,0.000,46,46,46,5.329,2.895
52,0.000,47,47,47,5.508,2.678
53,0.000,48,48,48,5.620,2.310
54,0.000,71,71,71,5.752,2.054
55,0.000,53,53,53,5.857,1.713
56,0.000,60,60,60,5.973,1.477
57,0.000,47,47,47,6.062,1.078
58,0.000,65,65,65,6.058,0.686
59,0.000,61,61,61,6.124,0.360
60,0.000,87,87,87,6.132,-0.070
61,0.000,110,110,110,6.105,-0.465
62,0.000,100,100,100,6.078,-0.857
63,0.000,97,97,97,6.054,-1.221
64,0.000,109,109,109,5.934,-1.605
65,0.000,109,109,109,5.849,-1.903
66,0.000,101,101,101,5.729,-2.283
67,0.000,100,100,100,5.558,-2.632
68,0.000,120,120,120,5.345,-3.066
69,0.000,137,137,137,5.054,-3.481
70,0.000,128,128,128,4.829,-3.767
71,0.000,107,107,107,4.442,-4.167
72,0.000,134,134,134,4.202,-4.492
73,0.000,164,164,164,3.946,-4.736
74,0.000,101,101,101,3.566,-4.895
75,0.000,95,95,95,3.349,-5.066
76,0.000,103,103,103,3.213,-5.151
77,0.000,100,100,100,2.407,-4.705
78,0.000,105,105,105,2.554,-4.926
79,0.000,99,99,99,2.729,-5.116
80,0.000,109,109,109,2.996,-5.229
