 ,Area,Mean,Min,Max,X,Y
1,0.000,164,164,164,-1.636,-0.018
2,0.000,69,69,69,-1.779,-0.245
3,0.000,76,76,76,-1.852,-0.524
4,0.000,90,90,90,-1.961,-0.718
5,0.000,85,85,85,-2.130,-1.082
6,0.000,88,88,88,-2.433,-1.361
7,0.000,133,133,133,-2.639,-1.555
8,0.000,97,97,97,-2.991,-1.736
9,0.000,88,88,88,-3.403,-1.845
10,0.000,93,93,93,-3.742,-1.821
11,0.000,120,120,120,-4.252,-1.724
12,0.000,106,106,106,-4.652,-1.567
13,0.000,153,153,153,-4.918,-1.300
14,0.000,152,152,152,-5.100,-0.936
15,0.000,118,118,118,-5.221,-0.585
16,0.000,111,111,111,-5.294,-0.258
17,0.000,121,121,121,-5.294,0.130
18,0.000,130,130,130,-5.282,0.421
19,0.000,118,118,118,-5.124,0.785
20,0.000,104,104,104,-4.845,1.088
21,0.000,78,78,78,-4.542,1.342
22,0.000,64,64,64,-4.155,1.573
23,0.000,104,104,104,-3.658,1.694
24,0.000,97,97,97,-3.270,1.670
25,0.000,110,110,110,-2.870,1.561
26,0.000,90,90,90,-2.506,1.318
27,0.000,173,173,173,-2.009,1.003
28,0.000,68,68,68,-1.852,0.700
29,0.000,73,73,73,-1.682,0.324
