 ,Area,Mean,Min,Max,X,Y
37,0.000,163,163,163,-1.798,-0.044
38,0.000,111,111,111,-1.785,-0.373
39,0.000,94,94,94,-1.768,-0.706
40,0.000,126,126,126,-1.715,-1.039
41,0.000,119,119,119,-1.658,-1.338
42,0.000,127,127,127,-1.579,-1.575
43,0.000,128,128,128,-1.474,-1.829
44,0.000,140,140,140,-1.268,-2.145
45,0.000,124,124,124,-1.048,-2.487
46,0.000,114,114,114,-0.838,-2.842
47,0.000,110,110,110,-0.522,-3.009
48,0.000,113,113,113,-0.224,-3.224
49,0.000,97,97,97,0.145,-3.346
50,0.000,87,87,87,0.531,-3.553
51,0.000,113,113,113,0.969,-3.645
52,0.000,100,100,100,1.294,-3.697
53,0.000,89,89,89,1.583,-3.636
54,0.000,113,113,113,2.000,-3.518
55,0.000,103,103,103,2.390,-3.404
56,0.000,97,97,97,2.640,-3.224
57,0.000,156,156,156,2.943,-2.917
58,0.000,109,109,109,3.101,-2.566
59,0.000,100,100,100,3.268,-2.149
60,0.000,83,83,83,3.320,-1.732
61,0.000,92,92,92,3.303,-1.346
62,0.000,68,68,68,3.232,-0.996
63,0.000,115,115,115,3.206,-0.671
64,0.000,124,124,124,3.101,-0.311
65,0.000,82,82,82,2.899,0.162
66,0.000,80,80,80,2.750,0.513
67,0.000,77,77,77,2.478,0.820
68,0.000,77,77,77,2.154,1.061
69,0.000,79,79,79,1.789,1.342
70,0.000,73,73,73,1.487,1.513
71,0.000,83,83,83,1.145,1.654
72,0.000,62,62,62,0.803,1.798
73,0.000,83,83,83,0.430,1.846
74,0.000,77,77,77,-0.167,1.829
75,0.000,68,68,68,-0.596,1.759
76,0.000,74,74,74,-0.978,1.566
77,0.000,90,90,90,-1.320,1.263
78,0.000,87,87,87,-1.518,1.044
79,0.000,116,116,116,-1.632,0.803
80,0.000,102,102,102,-1.724,0.535
81,0.000,90,90,90,-1.781,0.285
