 ,Area,Mean,Min,Max,X,Y
1,0.000,126,126,126,-2.099,-4.576
2,0.000,125,125,125,-2.112,-4.318
3,0.000,109,109,109,-2.112,-4.039
4,0.000,115,115,115,-2.043,-3.570
5,0.000,114,114,114,-2.043,-3.256
6,0.000,108,108,108,-2.043,-2.965
7,0.000,103,103,103,-2.043,-2.686
8,0.000,89,89,89,-2.043,-2.407
9,0.000,103,103,103,-2.043,-2.128
10,0.000,97,97,97,-2.043,-1.570
11,0.000,90,90,90,-2.043,-1.291
12,0.000,96,96,96,-2.070,-1.004
13,0.000,77,77,77,-2.070,-0.729
14,0.000,93,93,93,-2.070,-0.450
15,0.000,93,93,93,-2.070,0.109
16,0.000,78,78,78,-2.070,0.531
17,0.000,71,71,71,-2.101,1.085
18,0.000,76,76,76,-2.093,1.508
19,0.000,64,64,64,-2.093,2.089
20,0.000,71,71,71,-2.093,2.368
21,0.000,60,60,60,-2.081,2.802
22,0.000,61,61,61,-2.093,3.116
23,0.000,56,56,56,-2.116,3.531
24,0.000,62,62,62,-2.101,3.872
25,0.000,53,53,53,-2.085,4.275
26,0.000,51,51,51,-2.109,4.632
27,0.000,43,43,43,-2.198,4.996
28,0.000,48,48,48,-2.329,5.136
29,0.000,42,42,42,-2.674,5.413
30,0.000,47,47,47,-3.058,5.616
31,0.000,47,47,47,-3.442,5.715
32,0.000,94,94,94,-3.849,5.738
33,0.000,36,36,36,-4.360,5.727
34,0.000,58,58,58,-4.953,5.622
35,0.000,56,56,56,-5.512,5.558
36,0.000,48,48,48,-6.174,5.500
37,0.000,52,52,52,-6.692,5.384
38,0.000,50,50,50,-7.099,5.291
39,0.000,51,51,51,-7.500,5.145
40,0.000,54,54,54,-7.959,4.971
41,0.000,55,55,55,-8.459,4.721
42,0.000,54,54,54,-8.884,4.500
43,0.000,56,56,56,-9.337,4.267
44,0.000,51,51,51,-9.750,4.081
45,0.000,63,63,63,-10.070,3.860
46,0.000,75,75,75,-10.471,3.674
47,0.000,68,68,68,-10.750,3.512
48,0.000,94,94,94,-11.012,3.233
49,0.000,67,67,67,-11.250,2.913
50,0.000,68,68,68,-11.448,2.547
51,0.000,64,64,64,-11.581,2.140
52,0.000,76,76,76,-11.756,1.674
53,0.000,95,95,95,-11.826,1.238
54,0.000,70,70,70,-11.860,0.767
55,0.000,93,93,93,-11.919,0.360
56,0.000,138,138,138,-11.942,-0.122
57,0.000,109,109,109,-11.849,-0.581
58,0.000,96,96,96,-11.797,-0.953
59,0.000,106,106,106,-11.651,-1.424
60,0.000,99,99,99,-11.488,-1.872
61,0.000,116,116,116,-11.291,-2.262
62,0.000,124,124,124,-11.052,-2.686
63,0.000,109,109,109,-10.657,-3.081
64,0.000,117,117,117,-10.302,-3.326
65,0.000,122,122,122,-9.942,-3.605
66,0.000,118,118,118,-9.547,-3.826
67,0.000,111,111,111,-9.145,-4.047
68,0.000,117,117,117,-8.669,-4.238
69,0.000,113,113,113,-8.279,-4.407
70,0.000,124,124,124,-7.715,-4.663
71,0.000,154,154,154,-7.337,-4.837
72,0.000,175,175,175,-6.930,-5.006
73,0.000,152,152,152,-6.593,-5.128
74,0.000,123,123,123,-6.151,-5.233
75,0.000,123,123,123,-5.750,-5.302
76,0.000,154,154,154,-5.390,-5.453
77,0.000,165,165,165,-4.930,-5.535
78,0.000,143,143,143,-4.634,-5.599
79,0.000,127,127,127,-4.180,-5.581
80,0.000,120,120,120,-3.831,-5.651
81,0.000,121,121,121,-3.576,-5.686
82,0.000,130,130,130,-3.227,-5.634
83,0.000,126,126,126,-2.890,-5.581
84,0.000,146,146,146,-2.576,-5.395
85,0.000,141,141,141,-2.320,-5.174
86,0.000,115,115,115,-2.186,-4.901
87,0.000,115,115,115,-2.110,-4.721
