 ,Area,Mean,Min,Max,X,Y
1,0.000,148,148,148,1.936,0.003
2,0.000,89,89,89,1.979,-0.300
3,0.000,76,76,76,2.052,-0.591
4,0.000,76,76,76,2.233,-0.882
5,0.000,81,81,81,2.421,-1.112
6,0.000,61,61,61,2.682,-1.342
7,0.000,59,59,59,3.052,-1.512
8,0.000,105,105,105,3.421,-1.561
9,0.000,65,65,65,3.803,-1.518
10,0.000,75,75,75,4.203,-1.439
11,0.000,78,78,78,4.464,-1.233
12,0.000,66,66,66,4.682,-0.942
13,0.000,55,55,55,4.882,-0.688
14,0.000,63,63,63,4.979,-0.433
15,0.000,114,114,114,5.064,-0.118
16,0.000,68,68,68,5.027,0.209
17,0.000,54,54,54,4.991,0.439
18,0.000,49,49,49,4.833,0.852
19,0.000,69,69,69,4.694,1.045
20,0.000,62,62,62,4.542,1.215
21,0.000,78,78,78,4.336,1.385
22,0.000,48,48,48,4.118,1.530
23,0.000,84,84,84,3.894,1.664
24,0.000,64,64,64,3.652,1.688
25,0.000,86,86,86,3.312,1.670
26,0.000,68,68,68,2.967,1.591
27,0.000,81,81,81,2.639,1.348
28,0.000,79,79,79,2.403,1.148
29,0.000,79,79,79,2.239,0.930
30,0.000,75,75,75,2.094,0.670
31,0.000,86,86,86,2.009,0.445
