 ,Area,Mean,Min,Max,X,Y
1,0.000,125,125,125,-0.996,-1.636
2,0.000,123,123,123,-0.838,-1.904
3,0.000,135,135,135,-0.675,-2.110
4,0.000,126,126,126,-0.421,-2.250
5,0.000,95,95,95,-0.197,-2.342
6,0.000,105,105,105,0.127,-2.386
7,0.000,110,110,110,0.487,-2.373
8,0.000,86,86,86,0.877,-2.329
9,0.000,89,89,89,1.123,-2.289
10,0.000,95,95,95,1.430,-2.162
11,0.000,79,79,79,1.803,-1.991
12,0.000,99,99,99,2.048,-1.759
13,0.000,88,88,88,2.193,-1.496
14,0.000,73,73,73,2.342,-1.184
15,0.000,83,83,83,2.382,-0.768
16,0.000,86,86,86,2.390,-0.390
17,0.000,87,87,87,2.311,-0.075
18,0.000,119,119,119,2.219,0.259
19,0.000,86,86,86,2.026,0.496
20,0.000,81,81,81,1.803,0.785
21,0.000,92,92,92,1.592,1.031
22,0.000,111,111,111,1.224,1.232
23,0.000,96,96,96,0.934,1.377
24,0.000,81,81,81,0.491,1.487
25,0.000,72,72,72,0.193,1.539
26,0.000,119,119,119,-0.110,1.526
27,0.000,92,92,92,-0.509,1.399
28,0.000,83,83,83,-0.838,1.237
29,0.000,96,96,96,-1.171,0.996
30,0.000,88,88,88,-1.333,0.645
31,0.000,93,93,93,-1.373,0.325
32,0.000,79,79,79,-1.417,0.048
33,0.000,99,99,99,-1.465,-0.338
34,0.000,103,103,103,-1.434,-0.711
35,0.000,94,94,94,-1.325,-0.943
36,0.000,104,104,104,-1.158,-1.329
