 ,Area,Mean,Min,Max,X,Y
1,0.000,116,116,116,1.645,-0.082
2,0.000,103,103,103,1.652,-0.348
3,0.000,96,96,96,1.706,-0.567
4,0.000,95,95,95,1.833,-0.839
5,0.000,107,107,107,2.064,-1.124
6,0.000,96,96,96,2.282,-1.342
7,0.000,100,100,100,2.542,-1.585
8,0.000,86,86,86,2.821,-1.761
9,0.000,104,104,104,3.064,-1.864
10,0.000,78,78,78,3.433,-2.009
11,0.000,79,79,79,3.864,-2.045
12,0.000,59,59,59,4.294,-1.985
13,0.000,72,72,72,4.603,-1.864
14,0.000,90,90,90,4.948,-1.645
15,0.000,70,70,70,5.306,-1.439
16,0.000,70,70,70,5.603,-1.173
17,0.000,77,77,77,5.797,-0.912
18,0.000,55,55,55,6.009,-0.676
19,0.000,80,80,80,6.106,-0.288
20,0.000,103,103,103,6.112,0.009
21,0.000,53,53,53,6.064,0.355
22,0.000,71,71,71,6.045,0.803
23,0.000,60,60,60,5.852,1.167
24,0.000,55,55,55,5.645,1.409
25,0.000,47,47,47,5.342,1.712
26,0.000,67,67,67,5.027,1.900
27,0.000,75,75,75,4.700,2.058
28,0.000,64,64,64,4.385,2.148
29,0.000,79,79,79,3.961,2.209
30,0.000,73,73,73,3.482,2.197
31,0.000,72,72,72,3.124,2.118
32,0.000,64,64,64,2.815,1.948
33,0.000,80,80,80,2.494,1.694
34,0.000,79,79,79,2.227,1.415
35,0.000,84,84,84,1.948,1.094
36,0.000,65,65,65,1.742,0.827
37,0.000,79,79,79,1.670,0.542
38,0.000,77,77,77,1.621,0.282
