z;incz;I;Int I;Camp;IncB;;;
0,095;0,001;0,98;0,01;0,03;0,01;;;
0,085;0,001;;;0,04;0,01;;;
0,075;0,001;;;0,1;0,01;;;
0,065;0,001;;;0,25;0,01;;;
0,055;0,001;;;0,43;0,01;;;
0,045;0,001;;;0,54;0,01;;;
0,035;0,001;;;0,58;0,01;;;
0,025;0,001;;;0,59;0,01;;;
0,015;0,001;;;0,59;0,01;;;
0,005;0,001;;;0,6;0,01;;;
0;0,001;;;0,6;0,01;;;
-0,005;0,001;;;0,6;0,01;;;
-0,015;0,001;;;0,6;0,01;;;
-0,025;0,001;;;0,58;0,01;;;
-0,035;0,001;;;0,59;0,01;;;
-0,045;0,001;;;0,59;0,01;;;
-0,055;0,001;;;0,57;0,01;;;
-0,065;0,001;;;0,58;0,01;;;
-0,075;0,001;;;0,56;0,01;;;
-0,085;0,001;;;0,48;0,01;;;
-0,095;0,001;;;0,24;0,01;;;
