 ,Area,Mean,Min,Max,X,Y
1,0.000,248,248,248,0.435,0.185
2,0.000,246,246,246,0.358,0.192
3,0.000,245,245,245,0.275,0.198
4,0.000,246,246,246,0.182,0.205
5,0.000,244,244,244,0.085,0.218
6,0.000,245,245,245,-0.002,0.228
7,0.000,246,246,246,-0.125,0.238
8,0.000,239,239,239,-0.228,0.255
9,0.000,245,245,245,-0.322,0.258
10,0.000,246,246,246,-0.415,0.278
11,0.000,245,245,245,-0.508,0.285
12,0.000,242,242,242,-0.625,0.305
13,0.000,243,243,243,-0.715,0.315
14,0.000,238,238,238,-0.845,0.348
15,0.000,244,244,244,-0.945,0.355
16,0.000,237,237,237,-1.118,0.392
17,0.000,181,181,181,-1.025,0.365
18,0.000,241,241,241,-1.162,0.395
19,0.000,240,240,240,-1.225,0.408
20,0.000,235,235,235,-1.288,0.418
21,0.000,236,236,236,-1.345,0.435
22,0.000,236,236,236,-1.408,0.448
23,0.000,235,235,235,-1.462,0.455
24,0.000,232,232,232,-1.525,0.468
25,0.000,231,231,231,-1.582,0.478
26,0.000,231,231,231,-1.665,0.495
27,0.000,233,233,233,-1.728,0.508
28,0.000,232,232,232,-1.788,0.518
29,0.000,227,227,227,-1.862,0.542
30,0.000,227,227,227,-1.925,0.562
31,0.000,230,230,230,-2.002,0.575
32,0.000,230,230,230,-2.075,0.588
33,0.000,230,230,230,-2.152,0.605
34,0.000,228,228,228,-2.202,0.628
35,0.000,228,228,228,-2.202,0.628
36,0.000,226,226,226,-2.268,0.648
37,0.000,226,226,226,-2.325,0.652
38,0.000,224,224,224,-2.398,0.682
39,0.000,220,220,220,-2.475,0.712
40,0.000,222,222,222,-2.565,0.732
41,0.000,224,224,224,-2.652,0.745
42,0.000,220,220,220,-2.738,0.765
43,0.000,218,218,218,-2.818,0.795
44,0.000,67,67,67,-2.898,0.825
45,0.000,210,210,210,-2.998,0.845
46,0.000,209,209,209,-3.098,0.865
47,0.000,205,205,205,-3.175,0.905
48,0.000,206,206,206,-3.255,0.922
49,0.000,188,188,188,-3.372,0.965
50,0.000,203,203,203,-3.442,0.992
51,0.000,209,209,209,-3.518,1.018
52,0.000,203,203,203,-3.605,1.045
53,0.000,197,197,197,-3.698,1.082
54,0.000,201,201,201,-3.778,1.105
55,0.000,78,78,78,-3.888,1.155
56,0.000,199,199,199,-3.965,1.188
57,0.000,188,188,188,-4.068,1.222
58,0.000,196,196,196,-4.148,1.252
59,0.000,210,210,210,-4.238,1.282
60,0.000,202,202,202,-4.318,1.312
61,0.000,206,206,206,-4.392,1.355
62,0.000,214,214,214,-4.485,1.375
63,0.000,214,214,214,-4.572,1.408
64,0.000,215,215,215,-4.655,1.442
65,0.000,213,213,213,-4.725,1.475
66,0.000,219,219,219,-4.805,1.508
67,0.000,214,214,214,-4.892,1.535
68,0.000,221,221,221,-4.985,1.582
69,0.000,217,217,217,-5.082,1.625
70,0.000,218,218,218,-5.175,1.668
71,0.000,219,219,219,-5.292,1.722
72,0.000,219,219,219,-5.398,1.782
73,0.000,220,220,220,-5.492,1.828
74,0.000,220,220,220,-5.578,1.862
75,0.000,152,152,152,-5.675,1.902
76,0.000,196,196,196,-5.785,1.945
77,0.000,223,223,223,-5.892,2.022
78,0.000,229,229,229,-5.975,2.065
79,0.000,224,224,224,-6.048,2.108
