 ,Area,Mean,Min,Max,X,Y
1,0.000,200,200,200,0.477,0.246
2,0.000,203,203,203,0.414,0.257
3,0.000,199,199,199,0.365,0.270
4,0.000,200,200,200,0.277,0.275
5,0.000,201,201,201,0.194,0.301
6,0.000,197,197,197,0.104,0.312
7,0.000,201,201,201,-0.023,0.323
8,0.000,206,206,206,-0.087,0.341
9,0.000,205,205,205,-0.154,0.364
10,0.000,208,208,208,-0.238,0.387
11,0.000,209,209,209,-0.304,0.403
12,0.000,206,206,206,-0.364,0.416
13,0.000,212,212,212,-0.441,0.436
14,0.000,205,205,205,-0.523,0.452
15,0.000,200,200,200,-0.655,0.497
16,0.000,209,209,209,-0.762,0.522
17,0.000,209,209,209,-0.909,0.559
18,0.000,146,146,146,-1.028,0.606
19,0.000,204,204,204,-1.154,0.646
20,0.000,206,206,206,-1.223,0.672
21,0.000,205,205,205,-1.320,0.699
22,0.000,204,204,204,-1.417,0.735
23,0.000,201,201,201,-1.526,0.768
24,0.000,194,194,194,-1.629,0.806
25,0.000,196,196,196,-1.722,0.838
26,0.000,196,196,196,-1.829,0.884
27,0.000,195,195,195,-1.886,0.904
28,0.000,195,195,195,-1.971,0.938
29,0.000,203,203,203,-2.064,0.974
30,0.000,63,63,63,-2.216,1.029
31,0.000,189,189,189,-2.313,1.070
32,0.000,186,186,186,-2.420,1.119
33,0.000,185,185,185,-2.513,1.157
34,0.000,189,189,189,-2.616,1.219
35,0.000,191,191,191,-2.699,1.254
36,0.000,188,188,188,-2.781,1.286
37,0.000,190,190,190,-2.880,1.336
38,0.000,187,187,187,-2.980,1.374
39,0.000,10,10,10,-3.075,1.420
40,0.000,186,186,186,-3.180,1.496
41,0.000,182,182,182,-3.272,1.536
42,0.000,183,183,183,-3.330,1.574
43,0.000,182,182,182,-3.435,1.635
44,0.000,183,183,183,-3.557,1.699
45,0.000,184,184,184,-3.632,1.738
46,0.000,181,181,181,-3.745,1.796
47,0.000,179,179,179,-3.841,1.872
48,0.000,183,183,183,-3.974,1.955
49,0.000,175,175,175,-4.239,2.120
50,0.000,172,172,172,-4.396,2.193
51,0.000,182,182,182,-4.535,2.300
52,0.000,185,185,185,-4.645,2.399
53,0.000,179,179,179,-4.790,2.514
54,0.000,172,172,172,-4.912,2.636
