 ,Area,Mean,Min,Max,X,Y
1,0.000,218,218,218,0.159,0.247
2,0.000,230,230,230,0.465,0.200
3,0.000,233,233,233,0.417,0.210
4,0.000,227,227,227,0.370,0.217
5,0.000,213,213,213,0.309,0.231
6,0.000,212,212,212,0.262,0.233
7,0.000,220,220,220,0.184,0.238
8,0.000,224,224,224,0.087,0.248
9,0.000,227,227,227,-0.014,0.252
10,0.000,222,222,222,-0.106,0.278
11,0.000,221,221,221,-0.200,0.290
12,0.000,221,221,221,-0.276,0.309
13,0.000,225,225,225,-0.380,0.323
14,0.000,225,225,225,-0.462,0.330
15,0.000,220,220,220,-0.564,0.354
16,0.000,224,224,224,-0.672,0.370
17,0.000,225,225,225,-0.785,0.399
18,0.000,211,211,211,-0.877,0.422
19,0.000,220,220,220,-0.950,0.427
20,0.000,140,140,140,-1.017,0.446
21,0.000,222,222,222,-1.073,0.450
22,0.000,212,212,212,-1.151,0.467
23,0.000,207,207,207,-1.233,0.486
24,0.000,217,217,217,-1.333,0.498
25,0.000,214,214,214,-1.403,0.526
26,0.000,206,206,206,-1.479,0.542
27,0.000,206,206,206,-1.575,0.557
28,0.000,198,198,198,-1.696,0.583
29,0.000,194,194,194,-1.774,0.604
30,0.000,199,199,199,-1.863,0.620
31,0.000,192,192,192,-1.979,0.653
32,0.000,60,60,60,-2.068,0.689
33,0.000,192,192,192,-2.177,0.700
34,0.000,198,198,198,-2.255,0.719
35,0.000,188,188,188,-2.323,0.757
36,0.000,189,189,189,-2.387,0.774
37,0.000,187,187,187,-2.467,0.797
38,0.000,188,188,188,-2.533,0.818
39,0.000,200,200,200,-2.630,0.837
40,0.000,198,198,198,-2.738,0.880
41,0.000,197,197,197,-2.837,0.899
42,0.000,204,204,204,-2.899,0.932
43,0.000,202,202,202,-2.965,0.946
44,0.000,204,204,204,-3.045,0.965
45,0.000,36,36,36,-3.125,0.995
46,0.000,121,121,121,-3.203,1.026
47,0.000,211,211,211,-3.295,1.066
48,0.000,213,213,213,-3.410,1.097
49,0.000,207,207,207,-3.460,1.116
50,0.000,206,206,206,-3.512,1.137
51,0.000,212,212,212,-3.611,1.177
52,0.000,210,210,210,-3.677,1.212
53,0.000,213,213,213,-3.771,1.238
54,0.000,212,212,212,-3.880,1.283
55,0.000,212,212,212,-3.948,1.314
56,0.000,216,216,216,-4.012,1.333
57,0.000,213,213,213,-4.111,1.387
58,0.000,211,211,211,-4.224,1.422
59,0.000,217,217,217,-4.330,1.491
60,0.000,215,215,215,-4.455,1.531
61,0.000,219,219,219,-4.564,1.568
62,0.000,218,218,218,-4.658,1.613
63,0.000,217,217,217,-4.759,1.663
64,0.000,221,221,221,-4.863,1.710
65,0.000,223,223,223,-4.983,1.762
66,0.000,214,214,214,-5.108,1.833
67,0.000,18,18,18,-5.212,1.908
68,0.000,217,217,217,-5.271,1.936
69,0.000,216,216,216,-5.342,1.969
70,0.000,218,218,218,-5.406,2.002
71,0.000,216,216,216,-5.500,2.045
72,0.000,22,22,22,-5.578,2.094
73,0.000,214,214,214,-5.670,2.158
74,0.000,215,215,215,-5.771,2.200
75,0.000,221,221,221,-5.821,2.231
76,0.000,214,214,214,-5.870,2.262
77,0.000,218,218,218,-5.927,2.290
78,0.000,222,222,222,-6.002,2.328
79,0.000,222,222,222,-6.066,2.366
80,0.000,222,222,222,-6.170,2.432
81,0.000,80,80,80,-6.255,2.493
82,0.000,220,220,220,-6.340,2.519
