 ,Area,Mean,Min,Max,X,Y
1,0.000,208,208,208,0.458,0.049
2,0.000,204,204,204,0.370,0.050
3,0.000,203,203,203,0.294,0.046
4,0.000,193,193,193,0.204,0.040
5,0.000,197,197,197,0.130,0.036
6,0.000,207,207,207,0.059,0.040
7,0.000,212,212,212,-0.024,0.033
8,0.000,209,209,209,-0.103,0.036
9,0.000,197,197,197,-0.191,0.030
10,0.000,207,207,207,-0.286,0.033
11,0.000,203,203,203,-0.366,0.025
12,0.000,188,188,188,-0.459,0.016
13,0.000,54,54,54,-0.568,0.007
14,0.000,70,70,70,-0.661,0.010
15,0.000,56,56,56,-0.772,-0.003
16,0.000,207,207,207,-0.885,-0.013
17,0.000,36,36,36,-0.991,-0.025
18,0.000,209,209,209,-1.124,-0.035
19,0.000,209,209,209,-1.242,-0.037
20,0.000,204,204,204,-1.353,-0.045
21,0.000,208,208,208,-1.463,-0.061
22,0.000,208,208,208,-1.586,-0.072
23,0.000,205,205,205,-1.714,-0.085
24,0.000,199,199,199,-1.875,-0.100
25,0.000,78,78,78,-1.979,-0.120
26,0.000,199,199,199,-2.095,-0.130
27,0.000,196,196,196,-2.224,-0.150
28,0.000,191,191,191,-2.359,-0.163
29,0.000,193,193,193,-2.491,-0.180
30,0.000,197,197,197,-2.621,-0.214
31,0.000,189,189,189,-2.775,-0.245
32,0.000,189,189,189,-2.939,-0.268
33,0.000,188,188,188,-3.070,-0.286
34,0.000,183,183,183,-3.190,-0.315
35,0.000,180,180,180,-3.339,-0.339
36,0.000,182,182,182,-3.484,-0.375
37,0.000,173,173,173,-3.624,-0.408
38,0.000,175,175,175,-3.763,-0.435
39,0.000,164,164,164,-3.914,-0.469
40,0.000,170,170,170,-4.067,-0.490
41,0.000,166,166,166,-4.188,-0.540
42,0.000,166,166,166,-4.350,-0.578
43,0.000,162,162,162,-4.524,-0.615
44,0.000,162,162,162,-4.676,-0.667
45,0.000,164,164,164,-4.835,-0.698
46,0.000,161,161,161,-5.008,-0.755
47,0.000,158,158,158,-5.143,-0.790
48,0.000,157,157,157,-5.320,-0.865
