 ,Area,Mean,Min,Max,X,Y
1,0.000,229,229,229,0.535,0.042
2,0.000,223,223,223,0.414,0.039
3,0.000,222,222,222,0.297,0.037
4,0.000,216,216,216,0.162,0.031
5,0.000,118,118,118,0.038,0.014
6,0.000,221,221,221,-0.131,0.002
7,0.000,81,81,81,-0.233,-0.010
8,0.000,192,192,192,-0.378,-0.027
9,0.000,211,211,211,-0.521,-0.046
10,0.000,215,215,215,-0.678,-0.067
11,0.000,216,216,216,-0.839,-0.084
12,0.000,182,182,182,-0.958,-0.113
13,0.000,18,18,18,-1.082,-0.132
14,0.000,199,199,199,-1.188,-0.160
15,0.000,194,194,194,-1.288,-0.185
16,0.000,188,188,188,-1.425,-0.212
17,0.000,189,189,189,-1.536,-0.226
18,0.000,188,188,188,-1.637,-0.271
19,0.000,188,188,188,-1.767,-0.300
20,0.000,182,182,182,-1.921,-0.340
21,0.000,177,177,177,-2.275,-0.464
22,0.000,176,176,176,-2.123,-0.406
23,0.000,175,175,175,-2.424,-0.527
24,0.000,167,167,167,-2.568,-0.575
25,0.000,168,168,168,-2.713,-0.641
26,0.000,161,161,161,-2.856,-0.755
27,0.000,158,158,158,-3.030,-0.808
28,0.000,158,158,158,-3.181,-0.903
29,0.000,156,156,156,-3.292,-0.986
