 ,Area,Mean,Min,Max,X,Y
1,0.000,215,215,215,3.452,0.560
2,0.000,214,214,214,2.798,0.536
3,0.000,204,204,204,1.857,0.524
4,0.000,210,210,210,0.857,0.512
5,0.000,196,196,196,-0.560,0.560
6,0.000,210,210,210,-1.714,0.524
7,0.000,208,208,208,-2.857,0.512
8,0.000,202,202,202,-4.595,0.476
9,0.000,197,197,197,-5.905,0.464
10,0.000,102,102,102,-7.774,0.381
11,0.000,186,186,186,-9.262,0.286
12,0.000,41,41,41,-10.857,0.274
13,0.000,27,27,27,-12.345,0.190
14,0.000,33,33,33,-13.714,0.202
15,0.000,199,199,199,-15.107,0.131
16,0.000,203,203,203,-16.619,0.107
17,0.000,211,211,211,-18.369,-0.048
18,0.000,208,208,208,-19.940,-0.083
19,0.000,217,217,217,-22.833,-0.238
20,0.000,211,211,211,-21.476,-0.179
21,0.000,206,206,206,-24.357,-0.357
22,0.000,207,207,207,-25.667,-0.500
23,0.000,214,214,214,-26.976,-0.524
24,0.000,214,214,214,-28.310,-0.631
25,0.000,213,213,213,-30.024,-0.750
26,0.000,209,209,209,-31.048,-0.774
27,0.000,26,26,26,-32.500,-0.893
28,0.000,208,208,208,-34.024,-1.155
29,0.000,207,207,207,-35.690,-1.250
30,0.000,200,200,200,-37.357,-1.405
31,0.000,202,202,202,-38.750,-1.512
32,0.000,195,195,195,-39.952,-1.631
33,0.000,198,198,198,-41.452,-1.774
34,0.000,193,193,193,-42.643,-1.964
35,0.000,197,197,197,-44.083,-2.131
36,0.000,195,195,195,-45.524,-2.274
37,0.000,192,192,192,-46.726,-2.440
38,0.000,193,193,193,-48.214,-2.643
39,0.000,187,187,187,-50.012,-2.833
40,0.000,188,188,188,-51.500,-2.976
41,0.000,184,184,184,-52.929,-3.179
42,0.000,188,188,188,-54.238,-3.333
43,0.000,185,185,185,-55.488,-3.583
44,0.000,185,185,185,-56.988,-3.810
45,0.000,183,183,183,-58.500,-3.917
46,0.000,182,182,182,-59.655,-4.083
